Nr	Enhet	Kurskod	Version	Faststalld	benamning	Enhetsnamn	creator
3527	510	IN0630	1	2009-02-04	Individual Course Developing Markets for Solar Panels in Sweden	Institutionen för ekonomi	ekon
3528	510	IN0631	1	2009-02-04	Individuell kurs Fördjupning i företagsledning med tillämpning på lantbruksföretag	Institutionen för ekonomi	ekon
3529	670	IN0632	1	2009-02-09	Tropisk husdjursavel	Institutionen för husdjursgenetik	hgen
3530	636	IN0633	1	2009-02-10	Individuell kurs - Wanås blir grönt	Landskapsarkitektur	ltv
3531	636	IN0634	1	2009-02-10	Individuell kurs - Wanås blir grönt	Landskapsarkitektur	ltv
3532	510	IN0635	1	2009-02-16	Individuell kurs Tillämpad mikroekonomi - fördjupning	Institutionen för ekonomi	ekon
3533	633	IN0636	1	2009-02-12	Individuell kurs i livsmedelssäkerhet för ätliga trädgårdsväxter	Hortikultur	ltv
3534	632	IN0637	1	2009-02-12	Individual Course in Degree Project for Master Thesis in Biology, 30hp	Institutionen för växtskyddsbiologi	ltv
3535	510	IN0638	1	2009-02-27	Samarbete inom nötköttsproduktion	Institutionen för ekonomi	ekon
3536	631	IN0639	1	2009-02-10	Individual Course: Application of Genetic and Molecular Markers in Gene Banks	Institutionen för växtförädling och bioteknik	unk
3537	330	IN0640	1	2009-03-05	Individuell kurs: TAA1 proteinets roll för auxin/cytokinin interaktioner i Arabidopsis	Institutionen för skoglig genetik och växtfysiologi	genfys
3538	330	IN0641	1	2009-03-06	Individuell kurs: Wood cell wall modifying enzymes in populus	Institutionen för skoglig genetik och växtfysiologi	genfys
3539	330	IN0642	1	2009-03-05	Individuell kurs: Wood cell wall modifying enzymes in Populus	Institutionen för skoglig genetik och växtfysiologi	genfys
3540	670	IN0643	1	2009-03-10	Sustainable pig production in Europe	Institutionen för husdjursgenetik	hgen
3541	882	IN0644	1	2009-03-20	Renen i samspel med människa och miljö	Enheten för renskötsel	unk
3542	670	IN0645	1	2009-03-20	Genetiska korrelationer mellan klövhälsa och livslängd. I	Institutionen för husdjursgenetik	hgen
3543	670	IN0646	1	2009-03-20	Genetiska korrelationer mellan klövhälsa och livslängd. II	Institutionen för husdjursgenetik	hgen
3544	715	IN0647	1	2009-03-08	Survey course in clinical sciences	Institutionen för kliniska vetenskaper	kv
3545	880	IN0648	1	2009-02-27	Individuell kurs. Influence of environment and production on reproductive performance in dairy cows	Institutionen för husdjurens miljö och hälsa	hmh
3546	435	IN0649	1	2009-03-26	Produktion av khat i Etiopien - påverkan på några markfysikaliska och markkemiska egenskaper	Institutionen för mark och miljö	mark
3547	435	IN0650	1	2009-03-30	Markbördighet och kvävemineralisering i olika odlingssystem i Kenya	Institutionen för mark och miljö	mark
3548	637	IN0651	1	2009-03-24	Individuell kurs - Från idé till färdigt resultat	Landskapsutveckling	ltv
3549	595	IN0652	1	2009-04-07	Individuell kurs  Internationellt fältarbete	Institutionen för stad och land	sol
3550	480	IN0653	1	2009-03-31	Växtvirologi	Institutionen för växtbiologi	vbsg
3551	880	IN0654	1	2009-03-03	Interaktioner mellan hund och människa och dess effekt på hundens beteende och välfärd	Institutionen för husdjurens miljö och hälsa	hmh
3552	634	IN0655	1	2009-04-07	Individuell kurs i fruktodlingens växtskydd	Agrosystem	ltv
3553	633	IN0656	1	2009-04-17	Individuell kurs i mykorrhizasymbiosens betydelse för trädgårdsodlingen	Hortikultur	ltv
3554	510	IN0657	1	2009-04-28	Individuell kurs Fördjupning i tillämpad finansiering	Institutionen för ekonomi	ekon
3555	650	IN0658	1	2009-05-05	Individuell kurs - Husdjursvetenskap - D5	Institutionen för husdjurens utfodring och vård	huv
3556	650	IN0659	1	2009-05-05	Individuell kurs - Husdjursvetenskap - D10	Institutionen för husdjurens utfodring och vård	huv
3557	435	IN0661	1	2009-04-22	Tungmetallhalter i åkerjord och grödor odlade längs avloppskanaler i Uganda	Institutionen för mark och miljö	mark
3558	435	IN0662	1	2008-05-07	Individuell kurs: Effekt av svart kol på markfysikaliska egenskaper i odlingsmark i Kenya	Institutionen för mark och miljö	mark
3559	435	IN0663	1	2009-05-07	Individuell kurs: Uthållig markanvändning	Institutionen för mark och miljö	mark
3560	715	IN0664	1	2009-05-11	Effect of single layer centrifugation on different sperm parameters and survival of boar spermatozoa	Institutionen för kliniska vetenskaper	kv
3561	636	IN0665	1	2009-03-24	Individuell kurs - Självständigt arbete	Landskapsarkitektur	ltv
3562	637	IN0666	1	2009-05-19	Individuell kurs, projektkurs markbyggnad	Landskapsutveckling	ltv
3563	650	IN0667	1	2009-05-20	Individuell kurs - Fiberfodermedel till grisar i tropikerna	Institutionen för husdjurens utfodring och vård	huv
3564	650	IN0668	1	2009-05-20	Individuell kurs - Utfodring och skötsel av gårdshhöns i Tropikerna	Institutionen för husdjurens utfodring och vård	huv
3565	650	IN0717	1	2009-05-20	Individuell kurs - Zoonotiska sjukdomar i tropikerna	Institutionen för husdjurens utfodring och vård	huv
3566	637	IN0721	1	2009-05-06	Individuell kurs, Projektarbete inom MAP	Landskapsutveckling	ltv
3567	637	IN0722	1	2009-05-27	Individuell kurs, självständigt arbete i teknologi D	Landskapsutveckling	ltv
3568	636	IN0723	1	2009-06-04	Individuell kurs - Möte mellan musik, teater och landskap	Landskapsarkitektur	ltv
3569	435	IN0724	1	2009-06-11	Radioekologin och strålningseffekter på ekosystem och populationer efter radioaktiv spridning	Institutionen för mark och miljö	mark
3570	425	IN0725	1	2009-06-15	Individuell kurs, Miljöpåverkan av några energisystem	Institutionen för molekylära vetenskaper	molsci
3571	638	IN0726	1	2009-06-10	Individuell kurs, Förändringsledarskap och Organisation	Institutionen för människa och samhälle	ltv
3572	635	IN0727	1	2009-06-25	Individual Course: Territorial planning for rural development. The example LEADER Söderslätt	Lantbrukets byggnadsteknik	ltv
3573	435	IN0728	1	2009-06-25	Individuell kurs : Mark	Institutionen för mark och miljö	mark
3574	650	IN0729	1	2009-07-01	Individuell kurs - In vivo smältbarhet med syraolöslig aska	Institutionen för husdjurens utfodring och vård	huv
3575	650	IN0730	1	2009-07-01	Individuell kurs - Metanproduktion hos idisslare	Institutionen för husdjurens utfodring och vård	huv
3576	650	IN0731	1	2009-07-01	Individuell kurs - Skattning av in vivo smältbarhet	Institutionen för husdjurens utfodring och vård	huv
3577	670	IN0732	1	2009-08-17	Bioinformatisk analys av ERE i GFAP promotorn i primater	Institutionen för husdjursgenetik	hgen
3578	650	IN0733	1	2009-08-17	Individuell kurs - Hästens utfodring - A7,5	Institutionen för husdjurens utfodring och vård	huv
3579	480	IN0734	1	2009-08-17	Individuell kurs: Växtfysiologi	Institutionen för växtbiologi	vbsg
3580	480	IN0735	1	2009-08-17	Utveckling och utprovning av GFP-baserade in vivo-markörer för aktin-cytoskelettet i växtceller	Institutionen för växtbiologi	vbsg
3581	634	IN0736	1	2009-08-12	Individuell kurs i entreprenörskap inom foderproduktion	Agrosystem	ltv
3582	635	IN0737	1	2009-08-21	Individuell kurs: Installationer och klimatiseringsteknik	Lantbrukets byggnadsteknik	ltv
3583	241	IN0738	1	2009-09-07	International Silviculture with emphasis on plantation forestry	Institutionen för skogens ekologi och skötsel	seksko
3584	295	IN0739	1	2009-09-07	Jämförelse av strategier för naturskydd i några europeiska länder	Institutionen för sydsvensk skogsvetenskap	ess
3585	635	IN0740	1	2009-08-31	Individuell kurs, Animalieproduktion	Lantbrukets byggnadsteknik	ltv
3586	635	IN0741	1	2009-08-31	Individuell kurs, Djurhållningens teknologi	Lantbrukets byggnadsteknik	ltv
3587	635	IN0742	1	2009-08-28	Individuell kurs, Självständigt arbete i Teknologi E	Lantbrukets byggnadsteknik	ltv
3588	650	IN0743	1	2009-09-23	Individuell kurs - Grundläggande nutrition	Institutionen för husdjurens utfodring och vård	huv
3589	633	IN0744	1	2009-09-21	Individuell kurs: Hydroponiska odlingssystem	Hortikultur	ltv
3590	638	IN0745	1	2009-09-21	Individuell kurs Service Management i teori och praktik	Institutionen för människa och samhälle	ltv
3591	241	IN0746	1	2009-09-30	Marklära och markvård  i skogsbruket	Institutionen för skogens ekologi och skötsel	seksko
3592	631	IN0747	1	2009-09-21	Individuell kurs i systematisk botanik	Institutionen för växtförädling och bioteknik	unk
3593	330	IN0748	1	2009-09-22	Beräkningsbaserade Metoder för Livsvetenskaperna	Institutionen för skoglig genetik och växtfysiologi	genfys
3594	260	IN0749	1	2009-09-22	Individuell kurs - Skogsenergi	Institutionen för skoglig resurshushållning	srh
3595	435	IN0750	1	2009-10-20	Individual course: Project course - Numerical modeling of soil processes	Institutionen för mark och miljö	mark
3596	670	IN0751	1	2009-10-28	Hästens avel och genetik	Institutionen för husdjursgenetik	hgen
3597	633	IN0752	1	2009-11-20	Cultural management and its implication with the concept of stress - a case study in grapevine	Hortikultur	ltv
3598	635	IN0753	1	2009-12-17	Individual course Rural Building Design	Lantbrukets byggnadsteknik	ltv
3599	510	IN0754	1	2009-12-11	Private-Public Partnerships, individual course	Institutionen för ekonomi	ekon
3600	510	IN0755	1	2009-12-11	Implementation of management decisions in farming business	Institutionen för ekonomi	ekon
3601	712	IN0756	1	2009-12-16	Individuell kurs i didaktik för ridlärare	Institutionen för anatomi, fysiologi och biokemi	afb
3602	638	IN0757	1	2010-01-18	Individuell kurs: Företagsekonomi tillämpad inom den agrara näringen B	Institutionen för människa och samhälle	ltv
3603	631	IN0758	1	2010-01-14	Individual Course: Advanced Plant Breeding and Genetic Resources	Institutionen för växtförädling och bioteknik	unk
3604	631	IN0759	1	2010-01-14	Individual Course: Applied Plant Biotechnology	Institutionen för växtförädling och bioteknik	unk
3605	241	IN0760	1	2010-01-28	Bearbeting, hantering och lagring av skogsbränslen	Institutionen för skogens ekologi och skötsel	seksko
3606	260	IN0761	1	2010-01-28	Forestry Planning	Institutionen för skoglig resurshushållning	srh
3607	480	IN0762	1	2010-01-19	Individual course: Plant virology	Institutionen för växtbiologi	vbsg
3608	633	IN0763	1	2009-12-17	Individuell kurs: Hortikulturell grundkurs	Hortikultur	ltv
3609	670	IN0764	1	2010-02-12	Inventory of livestock for milk production in the Tamil Nadu district, India	Institutionen för husdjursgenetik	hgen
3610	510	IN0765	1	2010-02-16	Grön marknadsföring i livsmedelsbutik	Institutionen för ekonomi	ekon
3611	670	IN0766	1	2010-02-23	Genomanalys med inriktning på husdjur	Institutionen för husdjursgenetik	hgen
3612	510	IN0767	1	2010-02-23	Riskhantering inom Råvaruproduktionen i Lantbruket / Risker vid investerings- och marknadsbedömning	Institutionen för ekonomi	ekon
3613	510	IN0768	1	2010-02-23	Teoretisk och tillämpad riskhantering inom lantbruket	Institutionen för ekonomi	ekon
3614	635	IN0769	1	2010-03-04	Individuell kurs: Energisystem och energihushållning	Lantbrukets byggnadsteknik	ltv
3615	633	IN0770	1	2010-03-12	Individuell kurs i  mikrobiologi: biologisk bekämpning i slutna hydroponiska system	Hortikultur	ltv
3616	713	IN0771	1	2010-03-23	Parasitology	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
3617	637	IN0772	1	2010-03-12	Individuell kurs, Markbyggnad och markprojektering	Landskapsutveckling	ltv
3618	637	IN0773	1	2010-03-12	Individuell kurs, växtkännedom - vinterkvist	Landskapsutveckling	ltv
3619	480	IN0774	1	2010-03-29	Individual course: Genetics of phenology and drought tolerance traits in Salix	Institutionen för växtbiologi	vbsg
3620	638	IN0775	1	2010-04-06	Perception of quality by different stakeholders in organic food chains	Institutionen för människa och samhälle	ltv
3621	510	IN0776	1	2010-04-13	Teoretisk och tillämpad riskhantering inom lantbruket	Institutionen för ekonomi	ekon
3622	632	IN0777	1	2010-04-16	Individual course: Insect Chemical Ecology	Institutionen för växtskyddsbiologi	ltv
3623	650	IN0778	1	2010-04-13	Individuell kurs - Näringsvärdering av helsädesensilage med ärtor och havre till mjölkkor	Institutionen för husdjurens utfodring och vård	huv
3624	635	IN0779	1	2010-04-23	Individuell kurs: självständigt arbete inom lantbruksvetenskap	Lantbrukets byggnadsteknik	ltv
3625	880	IN0780	1	2010-03-20	Safety and animal welfare when handling horses	Institutionen för husdjurens miljö och hälsa	hmh
3626	565	IN0781	1	2010-04-26	Energi- och livscykelanalys	Institutionen för energi och teknik	et
3627	633	IN0782	1	2010-05-05	Individuell kurs i kandidatarbete	Hortikultur	ltv
3628	633	IN0783	1	2010-05-05	Methods in microbial horticulture	Hortikultur	ltv
3629	670	IN0784	1	2010-05-19	Risk factors in MHC class II genes predisposing to IgAD in Shar-Pei dogs, Individual Course	Institutionen för husdjursgenetik	hgen
3630	460	IN0785	1	2010-05-26	Individuell kurs: Experimentell fodermedelsmikrobiologi	Institutionen för mikrobiologi	mikrob
3631	480	IN0786	1	2010-06-01	Experimental Plant Biology, individual course	Institutionen för växtbiologi	vbsg
3632	510	IN0787	1	2010-05-25	Agrarhistoria, individuell kurs	Institutionen för ekonomi	ekon
3633	510	IN0788	1	2010-05-31	Individuell kurs i statistik för ekonomer	Institutionen för ekonomi	ekon
3634	510	IN0789	1	2010-05-26	Situationellt synsätt i lantbrukares företagsledning	Institutionen för ekonomi	ekon
3635	636	IN0790	1	2010-06-15	Individuell kurs - Möte mellan musik, teater och landskap	Landskapsarkitektur	ltv
3636	435	IN0791	1	2010-06-07	Individuell kurs: Radioekologin och strålningseffekter på ekosystem och populationer efter radioaktiv spridning	Institutionen för mark och miljö	mark
3637	510	IN0792	1	2010-06-15	Entreprenörskap - affärsplaner för agrara marknader	Institutionen för ekonomi	ekon
3638	650	IN0793	1	2010-06-28	Individuell kurs - Ren och renskötsel	Institutionen för husdjurens utfodring och vård	huv
3639	670	IN0794	1	2010-06-28	Livestock Breeding Program Project, individual course	Institutionen för husdjursgenetik	hgen
3640	670	IN0795	1	2010-06-28	Principles of Animal Breeding, individual course	Institutionen för husdjursgenetik	hgen
3641	295	IN0796	1	2010-08-19	Mixed stands - options for Icelandic forestry?	Institutionen för sydsvensk skogsvetenskap	ess
3642	712	IN0797	1	2010-06-28	Individuell kurs - Växtätarnas digestionsfysiologi och betydelsen av omega 3 för kött- och mjölkproduktion	Institutionen för anatomi, fysiologi och biokemi	afb
3643	295	IN0798	1	2010-08-19	Bioenergy from forests	Institutionen för sydsvensk skogsvetenskap	ess
3644	633	IN0799	1	2010-06-07	Individuell kurs: praktikkurs inom hortikultur	Hortikultur	ltv
3645	637	IN0800	1	2010-06-30	Individuell kurs, Projektkurs golfbanearkitektur	Landskapsutveckling	ltv
3646	650	IN0801	1	2010-08-30	Individuell kurs - Subakut vomacidos hos nötkreatur	Institutionen för husdjurens utfodring och vård	huv
3647	650	IN0802	1	2010-08-30	Individuell kurs - Provtagningsteknik i smältbarhetsförsök	Institutionen för husdjurens utfodring och vård	huv
3648	632	IN0803	1	2010-09-01	Individual Course, Agroecology Basics	Institutionen för växtskyddsbiologi	ltv
3649	565	IN0804	1	2010-08-30	Individuell kurs - Systemutveckling med inriktning mot miljötillämpningar	Institutionen för energi och teknik	et
3650	638	IN0805	1	2010-09-13	Individuell kurs, Företagsekonomi tillämpad inom den agrara näringen A	Institutionen för människa och samhälle	ltv
3651	210	IN0806	1	2010-10-07	Teknik för skogsbränslehantering, system och metoder och hur de utvecklats	Skogsmästarskolan	sms
3652	631	IN0807	1	2010-10-05	Individuell kurs i molekylär botanik	Institutionen för växtförädling och bioteknik	unk
3653	480	IN0808	1	2010-10-08	Växtvirologi	Institutionen för växtbiologi	vbsg
3654	595	IN0809	1	2010-10-19	Analytical Writing and Reflective Research Seminars	Institutionen för stad och land	sol
3655	510	IN0810	1	2010-10-21	Agricultural Marketing from a Global perspective	Institutionen för ekonomi	ekon
3656	510	IN0811	1	2010-10-21	Individuell kurs i Mikroekonomi	Institutionen för ekonomi	ekon
3657	510	IN0812	1	2010-10-25	PPP Privat-publik allianser (partnerskap)	Institutionen för ekonomi	ekon
3658	631	IN0813	1	2010-10-28	Individual course: Degree project for MSc thesis in biology	Institutionen för växtförädling och bioteknik	unk
3659	631	IN0814	1	2010-10-28	Individuell kurs: Specialpraktik	Institutionen för växtförädling och bioteknik	unk
3660	880	IN0815	1	2010-10-29	Individuell kurs, Utvärdering av emotionella uttryck hos hund	Institutionen för husdjurens miljö och hälsa	hmh
3661	241	IN0816	1	2010-11-10	Soil Conditions and Plant Growth	Institutionen för skogens ekologi och skötsel	seksko
3662	251	IN0817	1	2010-11-11	Database and Dataprocessing	Institutionen för vilt, fisk och miljö	vfm
3663	634	IN0818	1	2010-10-28	Individual course Basic Statistics	Agrosystem	ltv
3664	634	IN0819	1	2010-10-28	Individual Course: Environmental Issues in Crop Production	Agrosystem	ltv
3665	636	IN0820	1	2010-10-28	Individuell kurs - The Cultural Heritage of Landscape Architecture	Landskapsarkitektur	ltv
3666	635	IN0821	1	2010-11-16	Individuell kurs, Djurmiljö och byggnadsfunktion	Lantbrukets byggnadsteknik	ltv
3667	631	IN0822	1	2010-11-16	Indivduell kurs: Praktik i forskningsmiljö	Institutionen för växtförädling och bioteknik	unk
3668	241	IN0823	1	2010-11-29	Klimat, ekosystem och trädbaserad markanvändning i tropikerna	Institutionen för skogens ekologi och skötsel	seksko
